,site,latitude,longitude,depth,pCO2_ppmv,name,d13C_permil
0,ER23-S0,43.32885,-121.84604,30,3347,ER23-23 30,-20.8027354176844
1,ER23-S0,43.32885,-121.84604,60,3535,ER23-23 60,
2,ER23-S1,43.300709,-121.8779807,30,2089,ER23-S1 30,-19.826771490112
3,ER23-S1,43.300709,-121.8779807,60,2221,ER23-S1 60,-20.1050830184982
4,ER23-S2,43.2930092,-121.9300307,30,1421,ER23-S2 30,-18.7181160487434
5,ER23-S2,43.2930092,-121.9300307,60,1462,ER23-S2 60,-19.1705649121665
6,ER23-S3a,43.2928914,-121.9074334,30,2263,ER23-S3a 30,
7,ER23-S3b,43.2928914,-121.9074334,30,1355,ER23-S3b 30,
8,ER23-S3,43.2928914,-121.9074334,30,1347,ER23-S3 30,-18.598839679435
9,ER23-S3,43.2928914,-121.9074334,60,1616,ER23-S3 60,-19.2095126291133
10,ER23-S4,43.2938843,-121.9427188,30,2929,ER23-S4 30,-20.513636620756
11,ER23-S4,43.2938843,-121.9427188,60,3194,ER23-S4 60,-20.7694652104967
12,ER23-S6,43.2940124,-121.94248,30,2569,ER23-S6 30,
13,ER23-S6,43.2940124,-121.94248,60,3352,ER23-S6 60,
14,ER23-S7,43.2872,-121.9394,30,1456,ER23-S7 30,-18.6552741264395
15,ER23-S7,43.2872,-121.9394,60,1654,ER23-S7 60,-19.3001256848669
16,ER23-S8,43.29834,-121.90187,30,2204,ER23-S8 30,-19.4833956998875
17,ER23-S8,43.29834,-121.90187,60,2411,ER23-S8 60,-19.8374452084589
18,ER23-S9,43.29754,-121.890769,30,1794,ER23-S9 30,-19.8158706713747
19,ER23-S9,43.29754,-121.890769,60,2247,ER23-S9 60,-20.735627252333
